,epiGTBN-ReliefF_filtered_corrected,casmap-region-gwas-rec_filtered_corrected,episcan_filtered_corrected,antEpiSeeker_filtered_corrected,NNweights_filtered_corrected,plink-linearRegression-Hector_filtered_corrected,epiHSIC_filtered_corrected,plink-LR_filtered_corrected,lightGBM_filtered_corrected,mbmdr-gammaMaxt-lowerOrder_filtered_corrected,epiGTBN-Episcan_filtered_corrected,mbmdr-gammaMaxt_filtered_corrected,epiGTBN-ReliefF_filtered_uncorrected,episcan-notCorrected_filtered_uncorrected,plink-boost_filtered_uncorrected,NNweights_filtered_uncorrected,lightGBM_filtered_uncorrected,epiGTBN-Episcan_filtered_uncorrected,epiGTBN-ReliefF_unfiltered_corrected,episcan_unfiltered_corrected,antEpiSeeker_unfiltered_corrected,plink-linearRegression_unfiltered_corrected,NNweights_unfiltered_corrected,epiHSIC_unfiltered_corrected,lightGBM_unfiltered_corrected,mbmdr-gammaMaxt-lowerOrder_unfiltered_corrected,epiGTBN-Episcan_unfiltered_corrected,mbmdr-gammaMaxt_unfiltered_corrected,epiGTBN-ReliefF_unfiltered_uncorrected,episcan_unfiltered_uncorrected,plink-boost_unfiltered_uncorrected,NNweights_unfiltered_uncorrected,lightGBM_unfiltered_uncorrected,epiGTBN-Episcan_unfiltered_uncorrected
epiGTBN-ReliefF_filtered_corrected,3832.0,0.0,19.0,0.0,2.0,0.0,0.0,37.0,0.0,0.0,28.0,21.0,96.0,16.0,44.0,3.0,0.0,28.0,9.0,17.0,0.0,37.0,1.0,0.0,0.0,0.0,37.0,18.0,33.0,23.0,44.0,0.0,1.0,31.0
casmap-region-gwas-rec_filtered_corrected,,56.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0
episcan_filtered_corrected,,,10000.0,9.0,6.0,32.0,19.0,5724.0,7.0,6.0,90.0,416.0,44.0,3912.0,3482.0,6.0,9.0,88.0,3.0,5713.0,2.0,5444.0,0.0,19.0,8.0,4.0,106.0,342.0,17.0,4.0,3332.0,0.0,14.0,62.0
antEpiSeeker_filtered_corrected,,,,88.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,8.0,0.0,12.0,22.0,1.0,4.0,0.0,0.0,8.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,7.0,20.0,0.0,2.0,0.0
NNweights_filtered_corrected,,,,,12365.0,0.0,0.0,10.0,6.0,158.0,0.0,0.0,0.0,2.0,10.0,7141.0,9.0,0.0,0.0,2.0,2.0,10.0,327.0,0.0,5.0,71.0,0.0,0.0,0.0,6.0,10.0,325.0,7.0,0.0
plink-linearRegression-Hector_filtered_corrected,,,,,,64.0,0.0,64.0,0.0,0.0,1.0,11.0,0.0,22.0,57.0,0.0,0.0,2.0,0.0,27.0,0.0,63.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,20.0,56.0,0.0,0.0,1.0
epiHSIC_filtered_corrected,,,,,,,28.0,19.0,0.0,0.0,0.0,4.0,0.0,16.0,20.0,0.0,0.0,0.0,0.0,18.0,0.0,19.0,0.0,25.0,0.0,0.0,0.0,4.0,0.0,3.0,20.0,0.0,0.0,0.0
plink-LR_filtered_corrected,,,,,,,,22318.0,10.0,1.0,125.0,788.0,101.0,2234.0,5209.0,9.0,18.0,161.0,4.0,2842.0,2.0,21114.0,0.0,19.0,14.0,1.0,140.0,650.0,26.0,1666.0,5069.0,0.0,25.0,140.0
lightGBM_filtered_corrected,,,,,,,,,1026.0,8.0,0.0,7.0,0.0,7.0,13.0,5.0,102.0,0.0,0.0,6.0,1.0,10.0,0.0,0.0,155.0,7.0,1.0,7.0,0.0,4.0,13.0,0.0,62.0,1.0
mbmdr-gammaMaxt-lowerOrder_filtered_corrected,,,,,,,,,,10000.0,0.0,0.0,0.0,4.0,7.0,176.0,11.0,0.0,0.0,4.0,1.0,1.0,27.0,0.0,8.0,4237.0,0.0,0.0,0.0,6.0,7.0,7.0,8.0,0.0
